id,title,authors,venue,year
234,"fast algorithms for mining association rules in large databases ramakrishnan srikant , rakesh agrawal 1994",,vldb,
235,"large-scale , standards-based earth observation imagery and web mapping services peter baumann vldb",,,2003.0
236,"combinatorial pattern discovery for scientific data : some preliminary results kaizhong zhang , jason tsong-li wang , bruce a. shapiro , thomas g. marr , gung-wei chirn , dennis shasha 1994",,sigmod conference,
237,"partition based spatial-merge join david j. dewitt , jignesh m. patel",,sigmod conference,1996.0
238,webservice composition with o'grape and osiris,"christoph schuler , hans-jörg schek , patrick neukomm , roger weber , heiko schuldt",vldb,2003.0
239,"optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering daniel a. keim , alexander hinneburg",,vldb,1999.0
240,the database group at university of hagen ( fernuniversitaet ),"silke mittrach , gunter schlageter , thomas berkel , andreas scherer , eberhard heuel , wolfgang wilkes",sigmod record,1995.0
241,extended wavelets for multiple measures 2003,"antonios deligiannakis , nick roussopoulos",sigmod conference,
242,"business modelling using sql spreadsheets nathan folkert , abhinav gupta , andrew witkowski , srikanth bellamkonda , lei sheng , tolga bozkaya , sankar subramanian vldb 2003",,,
243,"optimal multi-step k-nearest neighbor search thomas seidl , hans-peter kriegel sigmod conference 1998",,,
244,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search sigmod conference 2002",charu c. aggarwal,,
245,"an experimental system for object-based sharing in federated databases shahram ghandeharizadeh , doug fang 1996",,vldb j.,
246,the lotus notes storage system kenneth moore sigmod conference 1995,,,
247,schema-driven customization of web services 2003,"bernd amann , serge abiteboul , jérôme baumgarten , omar benjelloun , tova milo , frederic dang ngoc",vldb,
248,"evaluation of remote backup algorithms for transaction-processing systems christos a. polyzois , hector garcia-molina acm trans . database syst .",,,1994.0
249,using schematically heterogeneous structures sigmod conference 1998,renée j. miller,,
250,generalised hash teams for join and group-by 1999,"donald kossmann , alfons kemper , christian wiesner",vldb,
251,"tpc-ds , taking decision support benchmarking to the next level bryan smith , meikel pöss , lubor kollár , per-åke larson 2002",,sigmod conference,
252,"heterogeneous database query optimization in db2 universal datajoiner shivakumar venkataraman , tian zhang vldb 1998",,,
253,"processing object-oriented queries with invertible late bound functions tore risch , staffan flodin",,vldb,1995.0
254,combining fuzzy information : an overview ronald fagin sigmod record,,,2002.0
255,"nexusscout : an advanced location-based application on a distributed , open mediation platform","matthias großmann , thomas schwarz , daniela nicklas",vldb,2003.0
256,"incremental clustering for mining in a data warehousing environment xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel vldb 1998",,,
257,"efficient similarity search and classification via rank aggregation ravi kumar , d. sivakumar , ronald fagin 2003",,sigmod conference,
258,"using extended feature objects for partial similarity retrieval hans-peter kriegel , stefan berchtold , daniel a. keim 1997",,vldb j.,
259,"composing web services on the semantic web athman bouguettaya , brahim medjahed , ahmed k. elmagarmid 2003",,vldb j.,
260,irisnet : internet-scale resource-intensive sensor services sigmod conference 2003,"amol deshpande , suman kumar nath , phillip b. gibbons , srinivasan seshan",,
